0.000000e+00	-inf
-2.004321e+00	-5.284770e+00
-2.303196e+00	-5.882482e+00
-2.478566e+00	-6.233215e+00
-2.603144e+00	-6.482367e+00
-2.699838e+00	-6.675753e+00
-2.778874e+00	-6.833826e+00
-2.845718e+00	-6.967512e+00
-2.903633e+00	-7.083341e+00
-2.954725e+00	-7.185525e+00
-3.000434e+00	-7.276944e+00
-3.041787e+00	-7.359651e+00
-3.079543e+00	-7.435160e+00
-3.114277e+00	-7.504630e+00
-3.146438e+00	-7.568953e+00
-3.176381e+00	-7.628840e+00
-3.204391e+00	-7.684864e+00
-3.230704e+00	-7.737482e+00
-3.255514e+00	-7.787102e+00
-3.278982e+00	-7.834035e+00
-3.301247e+00	-7.878570e+00
-3.322426e+00	-7.920914e+00
-3.342620e+00	-7.961317e+00
-3.361917e+00	-7.999900e+00
-3.380392e+00	-8.036874e+00
-3.398114e+00	-8.072298e+00
-3.415140e+00	-8.106363e+00
-3.431525e+00	-8.139129e+00
-3.447313e+00	-8.170712e+00
-3.462548e+00	-8.201160e+00
-3.477266e+00	-8.230629e+00
-3.491502e+00	-8.259058e+00
-3.505286e+00	-8.286663e+00
-3.518646e+00	-8.313381e+00
-3.531607e+00	-8.339307e+00
-3.544192e+00	-8.364503e+00
-3.556423e+00	-8.388843e+00
-3.568319e+00	-8.412794e+00
-3.579898e+00	-8.435825e+00
-3.591176e+00	-8.458409e+00
-3.602169e+00	-8.480411e+00
-3.612890e+00	-8.501715e+00
-3.623353e+00	-8.522559e+00
-3.633569e+00	-8.543211e+00
-3.643551e+00	-8.563224e+00
-3.653309e+00	-8.582682e+00
-3.662852e+00	-8.602025e+00
-3.672190e+00	-8.620498e+00
-3.681332e+00	-8.639003e+00
-3.690285e+00	-8.656299e+00
-3.699057e+00	-8.674271e+00
-3.707655e+00	-8.691468e+00
-3.716087e+00	-8.708124e+00
-3.724358e+00	-8.724762e+00
-3.732474e+00	-8.741328e+00
-3.740442e+00	-8.757062e+00
-3.748266e+00	-8.772715e+00
-3.755951e+00	-8.787905e+00
